merchant_name,category,number_of_transactions,total_spend,average_spend,median_spend,lunch_or_dinner
Asusual Pte Ltd,Restaurant,12094,4830007.48,399.37,21.60,Lunch
Senshi Pte. Ltd.,Restaurant,27446,735011.78,26.78,8.79,Lunch
Sushiro,Restaurant,3451,267356.28,77.47,51.08,Lunch
Restaurant,Restaurant,2685,250716.70,93.38,33.65,Lunch
Moon Juice Pte Ltd,Restaurant,3496,128530.13,36.76,5.60,Lunch
Google Wallet,Fast Food,8244,116753.37,14.16,6.98,Lunch
Bertsica Co Pte Ltd,Restaurant,2002,107980.64,53.94,15.50,Lunch
Boeuf Singapore,Fast Food,7386,78818.66,10.67,1.90,Lunch
Toast Box - Mlbm,Cafe,9458,67384.80,7.12,4.80,Lunch
Aburi-EN (Vivo City),Restaurant,1498,67328.55,44.95,27.46,Lunch
Tiong Bahru Bakery,Cafe,3433,66587.56,19.40,11.00,Lunch
Canton Paradise,Restaurant,1089,61160.54,56.16,42.92,Lunch
Shake Shack,Fast Food,2193,59466.70,27.12,20.90,Lunch
Sushi Tei,Restaurant,796,57142.68,71.79,60.55,Lunch
Raffles Hotel Singapore,Restaurant,151,56112.70,371.61,146.58,Lunch
Mikoto Singapore,Restaurant,439,48138.54,109.65,23.99,Lunch
Una Una VivoCity,Restaurant,968,43187.29,44.61,9.10,Lunch
Guzman Y Gomez,Fast Food,2767,42576.82,15.39,13.15,Lunch
Jewel Coffee,Cafe,956,41590.98,43.51,7.94,Lunch
elemen (Millenia Walk),Restaurant,1164,40060.33,34.42,14.50,Lunch
Cafe Oriental,Cafe,863,38114.71,44.17,26.86,Lunch
Artemis Grill,Restaurant,44,38013.04,863.93,600.00,Lunch
Paradise Dynasty,Restaurant,621,36212.29,58.31,47.24,Lunch
PS.Cafe Marina Bay Sands,Cafe,612,35061.80,57.29,8.90,Lunch
Raffles Courtyard,Restaurant,675,32247.95,47.77,9.90,Lunch
Beyond Pancakes,Cafe,3723,30971.48,8.32,2.40,Lunch
Una Una (Bugis+),Restaurant,854,30133.77,35.29,12.90,Lunch
The Coconut Club,Restaurant,565,29848.91,52.83,16.10,Lunch
Food Junction,Fast Food,2292,28750.40,12.54,8.30,Lunch
Kiwami (Chinatown Point),Fast Food,1555,28022.66,18.02,7.09,Lunch
Tsui Wah,Restaurant,731,27693.52,37.88,35.44,Lunch
En Sushi,Restaurant,781,27648.57,35.40,24.58,Lunch
Timbre Signatures,Restaurant,451,27223.37,60.36,29.10,Lunch
Boon Tong Kee,Restaurant,618,27148.91,43.93,25.40,Lunch
Aston's Specialties,Restaurant,288,27097.09,94.09,28.00,Lunch
Gyu-Kaku (Marina Square),Restaurant,429,25808.90,60.16,18.70,Lunch
The Sushi Bar,Bar,332,25191.41,75.88,60.91,Lunch
Chicken Up,Fast Food,902,24901.41,27.61,12.00,Lunch
Thachang (Bugis Junction),Restaurant,551,24772.71,44.96,26.00,Lunch
Grand Shanghai Restaurant,Restaurant,40,24251.12,606.28,235.45,Lunch
Shinya Izakaya,Restaurant,188,23661.46,125.86,70.40,Lunch
Kan Sushi,Restaurant,204,23036.42,112.92,71.70,Lunch
City Hot Pot,Restaurant,303,22846.87,75.40,62.34,Lunch
8 Korean BBQ (The Central),Restaurant,285,22512.47,78.99,18.88,Lunch
PS.Cafe Great World City,Cafe,704,22437.59,31.87,12.00,Lunch
The Public Izakaya 2,Bar,132,21578.20,163.47,112.71,Lunch
Aburi-En,Restaurant,394,20954.11,53.18,50.12,Lunch
COCA at Suntec,Restaurant,406,20735.43,51.07,8.30,Lunch
Waa Cow! (Marina One),Restaurant,743,19430.86,26.15,9.80,Lunch
XiabuXiabu - Lazada One,Restaurant,271,19373.25,71.49,29.83,Lunch
